CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C1_00060W_A	B9J08_001265	-0.05410817105426403	7.976376358356869	0.6306243155729622	0.9542973880265546	C1_00060W_A-T-p1	C1_00060W_A	Transcriptional repressor TUP1 [Source:UniProtKB/Swiss-Prot;Acc:P0CY34]	orf19.6109	TUP1
C1_00070W_A	B9J08_001266	0.0239324981546576	7.269598061372217	0.8218610785852203	0.9817440598456986	C1_00070W_A-T-p1	C1_00070W_A	Diphosphomevalonate decarboxylase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC43]	orf19.6105	MVD
C1_00080C_A	B9J08_001270	-0.17652003998142207	6.426957353666812	0.1639468071713994	0.6860587977510827	C1_00080C_A-T-p1	C1_00080C_A	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB69]	orf19.6102	RCA1
C1_00090W_A	B9J08_001269	-0.1379660393868647	5.298190023900008	0.3776926626362269	0.8709013114345909	C1_00090W_A-T-p1	C1_00090W_A	Peroxin/Ferlin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB70]	orf19.6103	NA
C1_00100C_A	B9J08_001267	-0.16296135107541143	5.849571625474427	0.22824593720329572	0.7568256636826076	C1_00100C_A-T-p1	C1_00100C_A	Cardiolipin synthase [Source:UniProtKB/TrEMBL;Acc:Q5AB72]	orf19.6100	NA
C1_00110W_A	B9J08_001271	-0.1067807596555841	8.459051586822286	0.30966386095529524	0.8267307747546984	C1_00110W_A-T-p1	C1_00110W_A	CCT-theta [Source:UniProtKB/TrEMBL;Acc:Q5AB74]	orf19.6099	CCT8
C1_00120C_A	B9J08_001272	-0.022648564408952902	6.456937844276881	0.8636405211717166	0.9891388745350654	C1_00120C_A-T-p1	C1_00120C_A	N-(5'-phosphoribosyl)anthranilate isomerase [Source:UniProtKB/Swiss-Prot;Acc:P43073]	orf19.6096	TRP1
C1_00130C_A	B9J08_001273	-0.07039388834052387	5.881148843828236	0.5450961181763252	0.934394566088194	C1_00130C_A-T-p1	C1_00130C_A	Vps53_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB78]	orf19.6094	VPS53
C1_00140W_A	B9J08_001274	-0.170446986602026	7.255142760861614	0.25482989187720306	0.7830967603737398	C1_00140W_A-T-p1	C1_00140W_A	Kel1p [Source:UniProtKB/TrEMBL;Acc:Q5AB80]	orf19.6092	KEL1
C1_00150C_A	B9J08_001275	-0.06773424703431316	7.019337633538922	0.5370247831432353	0.9337933082407969	C1_00150C_A-T-p1	C1_00150C_A	pH-response regulator protein palF/RIM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9UW13]	orf19.6091	RIM8
C1_00160C_A	B9J08_001276	0.10726245688429835	7.4267028821978895	0.5377950622013189	0.9340298133641958	C1_00160C_A-T-p1	C1_00160C_A	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis, repressed by nitric oxide, required for flow model biofilm formation, Spider biofilm repressed	orf19.6090	NA
