CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C1_00060W_A	B9J08_001265	-0.047612266296429485	7.976376358356869	0.6707473270348652	1	C1_00060W_A-T-p1	C1_00060W_A	Transcriptional repressor TUP1 [Source:UniProtKB/Swiss-Prot;Acc:P0CY34]	orf19.6109	TUP1
C1_00070W_A	B9J08_001266	-0.015782334282065828	7.269598061372217	0.8822414173953661	1	C1_00070W_A-T-p1	C1_00070W_A	Diphosphomevalonate decarboxylase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC43]	orf19.6105	MVD
C1_00080C_A	B9J08_001270	-0.010222710059761893	6.426957353666812	0.9351550932635327	1	C1_00080C_A-T-p1	C1_00080C_A	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB69]	orf19.6102	RCA1
C1_00090W_A	B9J08_001269	0.027816436387058725	5.298190023900008	0.8686084665770465	1	C1_00090W_A-T-p1	C1_00090W_A	Peroxin/Ferlin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB70]	orf19.6103	NA
C1_00100C_A	B9J08_001267	0.09120311581314888	5.849571625474427	0.5035243341535492	1	C1_00100C_A-T-p1	C1_00100C_A	Cardiolipin synthase [Source:UniProtKB/TrEMBL;Acc:Q5AB72]	orf19.6100	NA
C1_00110W_A	B9J08_001271	0.08191557835785328	8.459051586822286	0.4364565650679033	1	C1_00110W_A-T-p1	C1_00110W_A	CCT-theta [Source:UniProtKB/TrEMBL;Acc:Q5AB74]	orf19.6099	CCT8
C1_00120C_A	B9J08_001272	-0.10538642320965955	6.456937844276881	0.4263726067135756	1	C1_00120C_A-T-p1	C1_00120C_A	N-(5'-phosphoribosyl)anthranilate isomerase [Source:UniProtKB/Swiss-Prot;Acc:P43073]	orf19.6096	TRP1
C1_00130C_A	B9J08_001273	-0.05305493183640599	5.881148843828236	0.654144621396902	1	C1_00130C_A-T-p1	C1_00130C_A	Vps53_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB78]	orf19.6094	VPS53
C1_00140W_A	B9J08_001274	-0.16048684599859311	7.255142760861614	0.2824349869881338	1	C1_00140W_A-T-p1	C1_00140W_A	Kel1p [Source:UniProtKB/TrEMBL;Acc:Q5AB80]	orf19.6092	KEL1
C1_00150C_A	B9J08_001275	-0.056701775839287274	7.019337633538922	0.605734300622179	1	C1_00150C_A-T-p1	C1_00150C_A	pH-response regulator protein palF/RIM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9UW13]	orf19.6091	RIM8
C1_00160C_A	B9J08_001276	0.09626409190479211	7.4267028821978895	0.5782770782395088	1	C1_00160C_A-T-p1	C1_00160C_A	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis, repressed by nitric oxide, required for flow model biofilm formation, Spider biofilm repressed	orf19.6090	NA
C1_00170W_A	B9J08_001277	-0.10066906082379626	7.672835171650773	0.4123523342468733	1	C1_00170W_A-T-p1	C1_00170W_A	Pyruvate carboxyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB86]	orf19.6086	LEU4
C1_00180W_A	B9J08_001278	0.09759489491168288	11.611450251917146	0.39273621300872114	1	C1_00180W_A-T-p1	C1_00180W_A	Ribosomal 60S subunit protein L16A [Source:UniProtKB/TrEMBL;Acc:Q5AB87]	orf19.6085	RPL16A
C1_00210C_A	B9J08_000383	-0.0728390381455474	8.498596969166385	0.5367682871547952	1	C1_00210C_A-T-p1	C1_00210C_A	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	orf19.6082	NA
C1_00220W_A	B9J08_000384	-0.21198831829516399	11.312413190471318	0.15445388013969003	1	C1_00220W_A-T-p1	C1_00220W_A	pH-responsive protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O13318]	orf19.6081	PHR2
C1_00310W_A	B9J08_002588	-0.21731203355252798	7.531214773838015	0.14631032324609766	1	C1_00310W_A-T-p1	C1_00310W_A	Protein PNS1 [Source:UniProtKB/Swiss-Prot;Acc:Q5AB93]	orf19.6077	NA
C1_00320W_A	B9J08_002589	-0.0521806134888856	5.631782935206929	0.6827753495030332	1	C1_00320W_A-T-p1	C1_00320W_A	Vacuolar protein sorting-associated protein 29 [Source:UniProtKB/TrEMBL;Acc:Q5AB94]	orf19.6076	NA
C1_00330C_A	B9J08_002590	0.061344049956429204	5.783571948122766	0.6113560232381945	1	C1_00330C_A-T-p1	C1_00330C_A	NOT2_3_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC71]	orf19.6075	NA
C1_00340W_A	B9J08_004153	0.3026684723203203	6.790614999485995	0.06481276345455092	1	C1_00340W_A-T-p1	C1_00340W_A	Adenylate kinase isoenzyme 6 homolog HBR1 [Source:UniProtKB/Swiss-Prot;Acc:Q8TG40]	orf19.6074	HBR1
C1_00350C_A	B9J08_004152	0.35450825588506335	6.27068343701631	0.007715395651490204	0.87275513189392	C1_00350C_A-T-p1	C1_00350C_A	Hmx1p [Source:UniProtKB/TrEMBL;Acc:Q5AB97]	orf19.6073	HMX1
C1_00390W_A	B9J08_002173	-0.12095464963165334	4.284374410882801	0.5926571857551911	1	C1_00390W_A-T-p1	C1_00390W_A	Cation_ATPase_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABA1]	orf19.6070	ENA2
C1_00390W_A	B9J08_000969	-0.09436644582965092	7.306904022221441	0.4113033886413058	1	C1_00390W_A-T-p1	C1_00390W_A	Cation_ATPase_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABA1]	orf19.6070	ENA2
C1_00400W_A	B9J08_000654	0.00956934095113393	8.32202529064859	0.9299075253205665	1	C1_00400W_A-T-p1	C1_00400W_A	Survival factor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABA2]	orf19.6068	SVF1
C1_00410C_A	B9J08_003167	-0.11914566116052058	7.63682837275366	0.26632770746985157	1	C1_00410C_A-T-p1	C1_00410C_A	Aldehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC76]	orf19.6066	NA
C1_00420W_A	B9J08_003166	-0.0766425465905823	6.256082390325666	0.5173522210558668	1	C1_00420W_A-T-p1	C1_00420W_A	RNA polymerase II holoenzyme/mediator subunit, regulated by Mig1, Tup1, amphotericin B, caspofungin repressed, protein present in exponential and stationary growth phase yeast, Hap43-repressed, Spider biofilm repressed	orf19.6065	NA
C1_00430W_A	B9J08_003165	0.02374601121907512	5.52226659107645	0.8608811441557717	1	C1_00430W_A-T-p1	C1_00430W_A	Autophagy-related protein 18 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABA6]	orf19.6064	NA
C1_00440W_A	B9J08_003168	0.03765087284801369	7.221863154055755	0.7708710242121218	1	C1_00440W_A-T-p1	C1_00440W_A	Ubiquitin carboxyl-terminal hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC77]	orf19.6063	UBP6
C1_00450C_A	B9J08_003169	-0.013839540857445922	8.05147879044709	0.8976610925152492	1	C1_00450C_A-T-p1	C1_00450C_A	(orf19.6062.3) Mitochondrial protein, component of the mitochondrial inner membrane organizing system , role in maintenance of crista junctions and inner membrane architecture, Spider biofilm repressed	orf19.6062.3	NA
C1_00460W_A	B9J08_003170	0.03415589318996963	7.609810963527505	0.7412946709986519	1	C1_00460W_A-T-p1	C1_00460W_A	Putative TIM23 translocase complex subunit, membrane-localized, Hap43-repressed	orf19.6062	NA
C1_00470C_A	B9J08_003171	0.05246181617301487	7.038408100962041	0.6191223241711546	1	C1_00470C_A-T-p1	C1_00470C_A	Lactamase_B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABA9]	orf19.6061	NA
C1_00480C_A	B9J08_004446	-0.3222561475761787	2.9537746187655882	0.3935886598901939	1	C1_00480C_A-T-p1	C1_00480C_A	Putative AAA family ATPase [Source:UniProtKB/TrEMBL;Acc:Q5ABB0]	orf19.6060	GCN20
C1_00480C_A	B9J08_003172	0.047256337634568824	7.365430981543703	0.6263275197367264	1	C1_00480C_A-T-p1	C1_00480C_A	Putative AAA family ATPase [Source:UniProtKB/TrEMBL;Acc:Q5ABB0]	orf19.6060	GCN20
C1_00520W_A	B9J08_002172	0.03770682454598369	5.90640158542301	0.7722707005161302	1	C1_00520W_A-T-p1	C1_00520W_A	Phosphoglycerate mutase [Source:UniProtKB/TrEMBL;Acc:Q5ABB4]	orf19.6056	NA
C1_00540C_A	B9J08_003233	-0.15104038491259617	6.580498280631779	0.18515395369430088	1	C1_00540C_A-T-p1	C1_00540C_A	Protein with a Bul1 domain, binds the ubiquitin ligase Rsp5 and is involved in intracellular trafficking of a general amino acid permease Gap1, repressed in an azole-resistant strain overexpressing MDR1, Spider biofilm induced	orf19.6054	NA
C1_00540C_A	B9J08_003236	0.04142967985900358	6.798292147027036	0.7318101708886239	1	C1_00540C_A-T-p1	C1_00540C_A	Protein with a Bul1 domain, binds the ubiquitin ligase Rsp5 and is involved in intracellular trafficking of a general amino acid permease Gap1, repressed in an azole-resistant strain overexpressing MDR1, Spider biofilm induced	orf19.6054	NA
C1_00550W_A	B9J08_003232	-0.5580573323792295	4.39957855892033	0.004081162392528645	0.6805338289541516	C1_00550W_A-T-p1	C1_00550W_A	Gamma-glutamyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC84]	orf19.6053	CIS2
C1_00560W_A	B9J08_003234	0.04556646105814173	6.737277344698691	0.69706846572963	1	C1_00560W_A-T-p1	C1_00560W_A	TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABB8]	orf19.6052	CNS1
