protAlbicans,geneID,protAuris,start,end,ANNOT_GENE_NAME,function,length,Ident,Align,Mismatches,Gaps,qStart,qEnd,sStart,sEnd,EValue,Score,qCover,ANNOT_GENE_ENTREZ_ID
C1_12050W_A-T-p1,B9J08_005582,PIS48126.1,199,398,C1_12050W_A,26S proteasome regulatory subunit RPN2 [Source:UniProtKB/TrEMBL;Acc:Q5A3L0],952,47.525,101,41,3,7,106,788,877,5.61e-15,67.8,83,
C1_10180C_A-T-p1,B9J08_005583,PIS48127.1,5258,6036,C1_10180C_A,Arrestin_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PET4],728,66.310,187,61,2,213,397,367,553,5.39e-78,263,25,
C1_08880W_A-T-p1,B9J08_005584,PIS48128.1,7349,7726,C1_08880W_A,Protoporphyrinogen oxidase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PEF0],531,47.581,124,60,3,1,123,411,530,1.99e-31,114,98,
C4_03750C_A-T-p1,B9J08_005585,PIS48129.1,8301,8789,C4_03750C_A,RF_PROK_I domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PLX1],394,78.761,113,24,0,14,126,229,341,1.85e-59,187,70,
C4_03750C_A-T-p1,B9J08_005586,PIS48130.1,8922,9401,C4_03750C_A,RF_PROK_I domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PLX1],394,28.873,142,92,4,11,151,29,162,1.05e-13,65.5,89,
C4_03770W_A-T-p1,B9J08_005587,PIS48131.1,9469,9786,C4_03770W_A,Ortholog(s) have protein-macromolecule adaptor activity and role in proteasome regulatory particle assembly,164,35.135,111,62,3,1,101,1,111,2.43e-08,47.0,96,
C4_05300W_A-T-p1,B9J08_005578,PIS48134.1,2,736,C4_05300W_A,Xylulokinase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PMB3],616,59.244,238,94,3,7,243,8,243,1.37e-90,277,97,
C4_05110C_A-T-p1,B9J08_005579,PIS48135.1,2177,3349,C4_05110C_A,Hap4_Hap_bind domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PM95],376,47.500,40,21,0,136,175,132,171,4.48e-05,43.1,29,
C4_05130C_A-T-p1,B9J08_005580,PIS48136.1,5089,6732,C4_05130C_A,Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [Source:UniProtKB/TrEMBL;Acc:A0A1D8PM94],541,76.360,533,122,3,19,547,9,541,0.0,855,97,
C4_05140C_A-T-p1,B9J08_005581,PIS48137.1,7368,11792,C4_05140C_A,4-alpha-glucanotransferase [Source:UniProtKB/TrEMBL;Acc:Q59MN2],1527,66.554,1483,483,8,2,1471,45,1527,0.0,2080,99,
C1_02120C_A-T-p1,B9J08_005567,PIS48142.1,2756,4045,C1_02120C_A,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59VY9],595,47.174,460,170,11,1,390,1,457,1.63e-138,407,91,
C1_02110C_A-T-p1,B9J08_005568,PIS48143.1,6475,8160,C1_02110C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59VZ0],545,66.239,545,182,1,4,548,3,545,0.0,759,97,
C2_07410W_A-T-p1,B9J08_005569,PIS48144.1,8670,10034,C2_07410W_A,Hydrolase_4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59U61],488,51.230,488,197,8,2,454,1,482,2.56e-175,498,99,
C5_03060C_A-T-p1,B9J08_005570,PIS48145.1,10617,12098,C5_03060C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PNL8],510,32.724,492,318,4,2,491,28,508,2.40e-79,254,99,
C5_03060C_A-T-p1,B9J08_005571,PIS48146.1,13367,14851,C5_03060C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PNL8],510,36.034,469,289,5,25,492,50,508,3.63e-85,270,95,
C5_03060C_A-T-p1,B9J08_005572,PIS48147.1,15604,17145,C5_03060C_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PNL8],510,35.135,518,316,8,1,511,4,508,2.21e-88,278,99,
C1_02210W_A-T-p1,B9J08_005573,PIS48148.1,18697,19194,C1_02210W_A,"Ortholog of C. dubliniensis CD36 : Cd36_02060, C. parapsilosis CDC317 : CPAR2_106200, Candida tenuis NRRL Y-1498 : CANTEDRAFT_96322 and Debaryomyces hansenii CBS767 : DEHA2C02310g",570,34.286,35,21,1,12,44,16,50,3.2,26.2,20,
C3_02980C_A-T-p1,B9J08_005574,PIS48149.1,20785,22398,C3_02980C_A,"Ortholog of C. dubliniensis CD36 : Cd36_82960, C. parapsilosis CDC317 : CPAR2_102390, C. auris B8441 : B9J08_001199, Candida tenuis NRRL Y-1498 : CANTEDRAFT_133198 and Candida albicans WO-1 : CAWG_02618",218,34.091,44,27,1,95,138,110,151,0.19,32.0,8,
CR_08040W_A-T-p1,B9J08_005575,PIS48150.1,23560,25404,CR_08040W_A,N2227 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59X87],395,32.558,86,51,4,97,177,49,132,0.44,31.2,13,
