CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C1_00060W_A	B9J08_001265	-0.089423780483735	7.976376358356869	0.42532947486488437	0.8443982000729683	C1_00060W_A-T-p1	C1_00060W_A	Transcriptional repressor TUP1 [Source:UniProtKB/Swiss-Prot;Acc:P0CY34]	orf19.6109	TUP1
C1_00070W_A	B9J08_001266	-0.0031171363755140005	7.269598061372217	0.9804344143702453	1	C1_00070W_A-T-p1	C1_00070W_A	Diphosphomevalonate decarboxylase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC43]	orf19.6105	MVD
C1_00080C_A	B9J08_001270	0.033480717699187396	6.426957353666812	0.795572449946211	0.9621901477129011	C1_00080C_A-T-p1	C1_00080C_A	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB69]	orf19.6102	RCA1
C1_00090W_A	B9J08_001269	0.17233989564357105	5.298190023900008	0.278297619835125	0.770493602395601	C1_00090W_A-T-p1	C1_00090W_A	Peroxin/Ferlin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB70]	orf19.6103	NA
C1_00100C_A	B9J08_001267	0.008962803824327365	5.849571625474427	0.956765855171813	0.9957919418362737	C1_00100C_A-T-p1	C1_00100C_A	Cardiolipin synthase [Source:UniProtKB/TrEMBL;Acc:Q5AB72]	orf19.6100	NA
C1_00110W_A	B9J08_001271	-0.03780266892287193	8.459051586822286	0.7189210757333222	0.9444484412562433	C1_00110W_A-T-p1	C1_00110W_A	CCT-theta [Source:UniProtKB/TrEMBL;Acc:Q5AB74]	orf19.6099	CCT8
C1_00120C_A	B9J08_001272	-0.08673307643296864	6.456937844276881	0.5110903836133858	0.8792273734246671	C1_00120C_A-T-p1	C1_00120C_A	N-(5'-phosphoribosyl)anthranilate isomerase [Source:UniProtKB/Swiss-Prot;Acc:P43073]	orf19.6096	TRP1
C1_00130C_A	B9J08_001273	0.07213357813662873	5.881148843828236	0.5400907464585764	0.8914086678326518	C1_00130C_A-T-p1	C1_00130C_A	Vps53_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB78]	orf19.6094	VPS53
C1_00140W_A	B9J08_001274	-0.15346278660007096	7.255142760861614	0.30482336892012907	0.7813552448545166	C1_00140W_A-T-p1	C1_00140W_A	Kel1p [Source:UniProtKB/TrEMBL;Acc:Q5AB80]	orf19.6092	KEL1
C1_00150C_A	B9J08_001275	0.16141598721349434	7.019337633538922	0.14153568602859187	0.630719348067609	C1_00150C_A-T-p1	C1_00150C_A	pH-response regulator protein palF/RIM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9UW13]	orf19.6091	RIM8
C1_00160C_A	B9J08_001276	-0.26938381833819836	7.4267028821978895	0.11987692125158883	0.59742900929359255	C1_00160C_A-T-p1	C1_00160C_A	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis, repressed by nitric oxide, required for flow model biofilm formation, Spider biofilm repressed	orf19.6090	NA
C1_00170W_A	B9J08_001277	-0.1767700380147576	7.672835171650773	0.15001201769041667	0.6408840083235094	C1_00170W_A-T-p1	C1_00170W_A	Pyruvate carboxyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB86]	orf19.6086	LEU4
C1_00180W_A	B9J08_001278	-0.11408991550127114	11.611450251917146	0.31770235327627083	0.7839178642350909	C1_00180W_A-T-p1	C1_00180W_A	Ribosomal 60S subunit protein L16A [Source:UniProtKB/TrEMBL;Acc:Q5AB87]	orf19.6085	RPL16A
C1_00190C_A	B9J08_004179	-0.056669962261752985	3.7364609585866067	0.7935788408602591	0.9620981119328816	C1_00190C_A-T-p1	C1_00190C_A	Protein of unknown function, flow model biofilm induced, Spider biofilm induced	orf19.6084	NA
C1_00210C_A	B9J08_000383	-0.018484967657552413	8.498596969166385	0.8768140475238912	0.9796370958483617	C1_00210C_A-T-p1	C1_00210C_A	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	orf19.6082	NA
C1_00220W_A	B9J08_000384	0.010956927508724349	11.312413190471318	0.94121625476392	0.9948324005547201	C1_00220W_A-T-p1	C1_00220W_A	pH-responsive protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O13318]	orf19.6081	PHR2
C1_00230C_A	B9J08_000385	0.12636433705203834	5.713517794419792	0.3868575251820409	0.8263697975866173	C1_00230C_A-T-p1	C1_00230C_A	Bfa1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC67]	orf19.6080	BFA1
