protAlbicans,geneID,protAuris,start,end,ANNOT_GENE_NAME,function,length,Ident,Align,Mismatches,Gaps,qStart,qEnd,sStart,sEnd,EValue,Score,qCover,ANNOT_GENE_ENTREZ_ID
C5_00880C_A,CJI97_001786,PIS55093.1,19684,21306,GIT3,hypothetical protein,541,57.036,533,222,4,1,528,1,531,0,636,97.5970425138632,3642634
CR_01220W_A,CJI97_004559,PIS49872.1,17579,19102,,hypothetical protein,508,59.722,504,198,3,4,506,21,520,0,636,99.0157480314961,3640406
C3_05580C_A,CJI97_004555,PIS51014.1,940536,942302,GAP2,hypothetical protein,589,65.816,588,196,4,4,588,3,588,0,771,99.320882852292,3643662
C2_08050C_A,CJI97_002130,PIS52486.1,7499,9481,SIT1,hypothetical protein,661,42.178,652,314,8,3,653,11,600,0,531,98.4871406959153,3642307
C5_03060C_A,CJI97_005621,PIS49442.1,1414288,1415772,TNA1,hypothetical protein,495,35.433,508,300,8,1,492,13,508,1.11E-085,271,99.3939393939394,3637827
CR_10640W_A,CJI97_004978,PIS50287.1,984190,985614,,hypothetical protein,475,47.246,472,247,2,2,473,5,474,1.35E-161,464,99.3684210526316,3639014
C7_02000C_A,CJI97_002127,PIS55428.1,774618,776360,,hypothetical protein,581,62.613,551,206,0,30,580,8,558,0,747,94.8364888123924,3636964
C3_02060W_A,CJI97_002132,PIS52488.1,11543,12823,,hypothetical protein,427,77.251,422,96,0,1,422,1,422,0,708,98.8290398126464,3636578
C2_06470W_A,CJI97_004544,PIS51003.1,917860,918825,RTA2,hypothetical protein,322,22.526,293,169,7,5,254,105,382,1.19E-015,75.1,77.639751552795,3646567
C3_03120C_A,CJI97_005648,PIS48191.1,3290,4857,DAL5,hypothetical protein,522.666666666667,56.226,514,205,5,10,507,16,525,0,589,95.280612244898,3638401
C2_06470W_A,CJI97_004545,PIS51004.1,920475,921395,RTA2,hypothetical protein,307,25.175,286,162,6,11,256,109,382,2.16E-020,89,80.1302931596091,3646567
C5_02430W_A,CJI97_004569,PIS49882.1,47459,49115,ZCF22,hypothetical protein,552.333333333333,21.875,480,291,14,126,523,220,697,1.64E-019,90.1,72.057936028968,3637727
C1_08210C_A,CJI97_004171,PIS50646.1,19508,19819,MLT1,hypothetical protein,104,35.897,117,55,1,7,103,1401,1517,2.07E-021,85.5,93.2692307692308,3640748
C5_01360W_A,CJI97_004566,PIS49879.1,41687,43852,CFL4,hypothetical protein,722,42.857,721,383,12,12,721,8,710,0,620,98.3379501385042,3642639
C6_02660C_A,CJI97_004562,PIS49875.1,31200,32822,,hypothetical protein,541,35.932,526,305,9,39,537,49,569,6.56E-096,301,92.2365988909427,3639224
C5_02630C_A,CJI97_004561,PIS49874.1,29505,30875,MNN1,hypothetical protein,457,28.906,384,222,7,112,445,290,672,8.94E-051,182,73.0853391684902,3637784
C7_03290C_A,CJI97_004166,PIS54462.1,4301976,4303397,RBR3,hypothetical protein,474,29.139,302,134,11,131,400,1025,1278,0.0000000918,52.8,56.9620253164557,3646728
C1_04650W_A,CJI97_004563,PIS49876.1,33146,35115,DUR3,hypothetical protein,656.666666666667,33.333,648,364,7,5,587,8,652,1.18E-103,328,88.7817258883249,3644760
C2_08050C_A,CJI97_001784,PIS55091.1,15032,17056,SIT1,hypothetical protein,675,33.801,642,371,13,6,643,9,600,1.18E-119,368,94.5185185185185,3642307
C3_03120C_A,CJI97_004979,PIS50288.1,986011,987591,DAL5,hypothetical protein,527,55.153,524,228,4,5,526,7,525,0,604,99.0512333965844,3638401
C6_03790C_A,CJI97_001780,PIS55087.1,3345,4829,HGT10,hypothetical protein,495,27.079,469,312,11,14,464,18,474,1.02E-038,146,91.1111111111111,3640309
C1_05300C_A,CJI97_004556,PIS51015.1,946789,948831,PRD1,hypothetical protein,681,39.823,678,398,7,5,676,27,700,2.82E-173,509,98.6784140969163,3642471
C1_02110C_A,CJI97_001782,PIS55089.1,7451,8935,HGT2,hypothetical protein,495,26.572,493,314,15,4,466,18,492,3.48E-036,139,93.5353535353535,3644579
CR_04630C_A,CJI97_004567,PIS49880.1,43869,45299,DIT2,hypothetical protein,477,43.99,391,206,6,91,475,1,384,3.37E-104,314,80.7127882599581,3640962
C2_05130W_A,CJI97_001788,PIS55095.1,24585,25646,,hypothetical protein,354,46.301,365,183,3,1,353,6,369,2.58E-120,350,99.7175141242938,3643458
C1_02530C_A,CJI97_001779,PIS56525.1,1550934,1552661,DIP5,hypothetical protein,576,59.686,573,226,3,7,575,15,586,0,659,98.7847222222222,3636798
C1_06000W_A,CJI97_001785,PIS55092.1,17833,19491,,hypothetical protein,553,53.211,545,250,3,12,551,3,547,0,569,97.6491862567812,3639870
C3_07860C_A,CJI97_004547,PIS51006.1,925610,927772,MRR2,hypothetical protein,721,22.505,551,343,22,139,673,201,683,0.000000000000178,72,74.2024965325936,3647468
C7_00280W_A,CJI97_001793,PIS55100.1,39212,40783,HGT12,hypothetical protein,524,62.167,526,196,2,1,523,1,526,0,681,99.8091603053435,3638048
C5_03060C_A,CJI97_005622,PIS49443.1,1416523,1418064,TNA1,hypothetical protein,514,35.135,518,316,8,1,511,4,508,2.28E-088,278,99.4163424124514,3637827
C3_01820W_A,CJI97_001783,PIS55090.1,9724,12216,,hypothetical protein,831,38.337,866,488,18,6,829,5,866,0,578,99.1576413959085,3636584
CR_08890C_A,CJI97_000867,PIS57815.1,1885248,1885943,ASR2,hypothetical protein,232,35.071,211,108,6,42,229,52,256,1.05E-021,88.6,81.0344827586207,3641907
C6_03790C_A,CJI97_002169,PIS52522.1,86544,88175,HGT10,hypothetical protein,544,29.956,454,288,13,70,506,38,478,2.47E-039,149,80.3308823529412,3640309
C3_02510C_A,CJI97_004564,PIS49877.1,35343,36482,SAP8,hypothetical protein,380,33.741,409,215,13,1,368,1,394,5.09E-049,168,96.8421052631579,3638371
CR_08830W_A,CJI97_000864,PIS57812.1,1879073,1879354,,hypothetical protein,94,48.454,97,35,4,1,93,2,87,1.96E-021,78.6,98.936170212766,30515450
C2_08050C_A,CJI97_004165,PIS54461.1,4296341,4298353,SIT1,hypothetical protein,671,37.5,632,347,10,11,640,6,591,9.07E-138,414,93.8897168405365,3642307
C1_14020W_A,CJI97_002635,PIS52979.1,1078165,1078566,,hypothetical protein,134,43.511,131,70,2,5,132,6,135,9.36E-035,115,95.5223880597015,3643339
C1_11480W_A,CJI97_001140,PIS55902.1,157822,159483,PHO84,phosphate:H+ symporter,554,74.721,538,135,1,17,553,8,545,0,841,96.9314079422383,3645348
CR_02570C_A,CJI97_004164,PIS54460.1,4295119,4296252,,hypothetical protein,378,40.209,383,215,8,2,370,3,385,3.93E-084,259,97.6190476190476,3647685
C4_01070W_A,CJI97_002712,PIS53053.1,1240183,1241943,HGT17,hypothetical protein,587,57.565,575,224,6,7,573,23,585,0,679,96.5928449744463,3635687
C6_03790C_A,CJI97_000956,PIS57902.1,2083951,2085651,HGT10,hypothetical protein,567,67.201,561,154,3,2,554,7,545,0,775,97.5308641975309,3640309
C2_02970C_A,CJI97_001776,PIS56523.1,1538231,1539769,ALD5,hypothetical protein,513,47.581,496,249,6,1,496,8,492,1.28E-153,446,96.6861598440546,3643026
