CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C1_00060W_A	B9J08_001265	-0.11925606458849873	7.976376358356869	0.2874027541643235	1	C1_00060W_A-T-p1	C1_00060W_A	Transcriptional repressor TUP1 [Source:UniProtKB/Swiss-Prot;Acc:P0CY34]	orf19.6109	TUP1
C1_00070W_A	B9J08_001266	-0.0500282604822079	7.269598061372217	0.6347619876190543	1	C1_00070W_A-T-p1	C1_00070W_A	Diphosphomevalonate decarboxylase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC43]	orf19.6105	MVD
C1_00080C_A	B9J08_001270	-0.1184963051102865	6.426957353666812	0.3512286471392796	1	C1_00080C_A-T-p1	C1_00080C_A	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB69]	orf19.6102	RCA1
C1_00090W_A	B9J08_001269	-0.20857453478260482	5.298190023900008	0.18648403669105149	1	C1_00090W_A-T-p1	C1_00090W_A	Peroxin/Ferlin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB70]	orf19.6103	NA
C1_00100C_A	B9J08_001267	-0.0414518654233596	5.849571625474427	0.7691415744478588	1	C1_00100C_A-T-p1	C1_00100C_A	Cardiolipin synthase [Source:UniProtKB/TrEMBL;Acc:Q5AB72]	orf19.6100	NA
C1_00110W_A	B9J08_001271	-0.10999365007772992	8.459051586822286	0.29602732286957584	1	C1_00110W_A-T-p1	C1_00110W_A	CCT-theta [Source:UniProtKB/TrEMBL;Acc:Q5AB74]	orf19.6099	CCT8
C1_00120C_A	B9J08_001272	0.16509054219606004	6.456937844276881	0.21236747253591912	1	C1_00120C_A-T-p1	C1_00120C_A	N-(5'-phosphoribosyl)anthranilate isomerase [Source:UniProtKB/Swiss-Prot;Acc:P43073]	orf19.6096	TRP1
C1_00130C_A	B9J08_001273	-0.0024097413667715827	5.881148843828236	0.9908958707779987	1	C1_00130C_A-T-p1	C1_00130C_A	Vps53_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB78]	orf19.6094	VPS53
C1_00140W_A	B9J08_001274	-0.05763925474192475	7.255142760861614	0.7001325921027682	1	C1_00140W_A-T-p1	C1_00140W_A	Kel1p [Source:UniProtKB/TrEMBL;Acc:Q5AB80]	orf19.6092	KEL1
C1_00150C_A	B9J08_001275	-0.058150616092856953	7.019337633538922	0.6001127720952717	1	C1_00150C_A-T-p1	C1_00150C_A	pH-response regulator protein palF/RIM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9UW13]	orf19.6091	RIM8
C1_00160C_A	B9J08_001276	-0.1422697299303533	7.4267028821978895	0.41299984760682	1	C1_00160C_A-T-p1	C1_00160C_A	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis, repressed by nitric oxide, required for flow model biofilm formation, Spider biofilm repressed	orf19.6090	NA
C1_00170W_A	B9J08_001277	0.031948589036413774	7.672835171650773	0.7966978998733749	1	C1_00170W_A-T-p1	C1_00170W_A	Pyruvate carboxyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB86]	orf19.6086	LEU4
C1_00180W_A	B9J08_001278	-0.10730743426241035	11.611450251917146	0.3474431893868938	1	C1_00180W_A-T-p1	C1_00180W_A	Ribosomal 60S subunit protein L16A [Source:UniProtKB/TrEMBL;Acc:Q5AB87]	orf19.6085	RPL16A
C1_00190C_A	B9J08_004179	0.3471376670120115	3.7364609585866067	0.08088162462145676	0.9787927182118988	C1_00190C_A-T-p1	C1_00190C_A	Protein of unknown function, flow model biofilm induced, Spider biofilm induced	orf19.6084	NA
C1_00210C_A	B9J08_000383	0.11680377595926547	8.498596969166385	0.3219499196098103	1	C1_00210C_A-T-p1	C1_00210C_A	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	orf19.6082	NA
